ticket_id,issue_category,resolution_id,resolution_text,added_by,created_date,resolved_date,helpful_count,is_verified
TECH_021,Software Installation Failure,1,Disable antivirus and retry installation,1,2025-03-17,2025-03-17,0,true
TECH_022,Software Installation Failure,2,Download from direct link,1,2025-03-17,2025-03-17,0,true
TECH_023,Software Installation Failure,3,Update to latest version of antivirus,1,2025-03-17,2025-03-17,0,true
TECH_024,Network Connectivity Issue,4,Check app permissions for Local Network,1,2025-03-16,2025-03-16,0,true
TECH_025,Network Connectivity Issue,5,Clear app cache and relog,1,2025-03-16,2025-03-16,0,true
TECH_026,Network Connectivity Issue,6,Reinstall the app,1,2025-03-16,2025-03-16,0,true
TECH_027,Device Compatibility Error,7,Rollback app to version 4.9,1,2025-03-15,2025-03-15,0,true
TECH_028,Device Compatibility Error,8,Offer a discount on a compatible thermostat,1,2025-03-15,2025-03-15,0,true
TECH_029,Device Compatibility Error,9,Contact thermostat support for an update,1,2025-03-15,2025-03-15,0,true
TECH_030,Account Synchronization Bug,10,Reset sync token manually,1,2025-03-14,2025-03-14,0,true
TECH_031,Account Synchronization Bug,11,Force Full Sync on both devices,1,2025-03-14,2025-03-14,0,true
TECH_032,Account Synchronization Bug,12,Clear app cache and relog,1,2025-03-14,2025-03-14,0,true
TECH_033,Payment Gateway Integration Failure,13,Upgrade server to TLS 1.3,1,2025-03-13,2025-03-13,0,true
TECH_034,Payment Gateway Integration Failure,14,Verify SSL certificate settings,1,2025-03-13,2025-03-13,0,true
TECH_035,Payment Gateway Integration Failure,15,Use a different gateway API,1,2025-03-13,2025-03-13,0,true
TECH_036,Payment Gateway Integration Failure,16,Check server firewall settings,1,2025-03-13,2025-03-13,0,true
